NO,Series,Model,Description,Pricelist (Rp)
10,Moving Wash,MOXLITE HERA LITE,Beam 150W LED Source,6950000
11,Moving Wash,MOXLITE MEDUSA LITE,B-Eye Effect 7x40W RGBW 4in1,6970000
12,Moving Wash,MOXLITE IP MEDUSA LITE,B-Eye Effect 7x40W RGBW 4in1 Waterproof,11740000
13,Moving Wash,MOXLITE MEDUSA,B-Eye Effect 19x15W RGBW 4in1,10070000
14,Moving Wash,MOXLITE MEDUSA PLUS,B-Eye Effect 19x40W RGBW 4in1,14370000
15,Moving Wash (Outdoor),MOXLITE IP MEDUSA PLUS,B-Eye Effect 12x40W RGBW 4in1 Waterproof,17600000
16,Moving Wash (Outdoor),MOXLITE IP MEDUSA PRO,B-Eye Effect 7x60W RGBW 4in1 Waterproof,15950000
