NO,Series,Model,Description,Pricelist (Rp)
45,Laser,MOXLITE HADES VI,6W Laser up to 2600mw laser power,22530000
46,Laser,MOXLITE HADES X,10W Laser up to 4000mw laser power,24430000
47,Laser,MOXLITE HADES XX,20W Laser up to 9000mw laser power,63110000
48,Laser,MOXLITE HADES XXX,30W Laser up to 12500mw laser power,99220000
49,Laser,MOXLITE HADES IP,33W Laser Waterproof,111840000
