NO,Series,Model,Description,Pricelist (Rp)
1,Moving Light,MOXLITE AMOS,Beam 250W Lamp Source,7940000
2,Moving Light,MOXLITE AMOS PLUS,Beam 300W Lamp Source,10010000
3,Moving Light,MOXLITE AMOS PRO,Beam 420W Lamp Source,14980000
4,Moving Light,MOXLITE ARES,BSW 380W Lamp Source CMY + CTO,16240000
5,Moving Light,MOXLITE SCARLET,BSW 200W LED Source,10900000
6,Moving Light,MOXLITE SCARLET PLUS,BSW 450W LED Source CMY + CTO,17440000
7,Moving Light,MOXLITE SCARLET HYBRID,BSW 600W LED Source CMY + CTO + Framing,32110000
8,Moving Light,MOXLITE IP SCARLET HYBRID,BSW 600W LED Source Waterproof CMY + CTO + Framing,43810000
9,Moving Light,MOXLITE ARES PLUS,,39760000
